filename,classification
04e61d9506ffe1d8ac6c48e8b091cc48.jpeg,real
04ed7ba99198264f5405056b941a4d3c.jpeg,fake
0b5a6fe395e6652f45b8bdab691c28adc961287d6ecc86ca1f739abcfe584ed2.jpeg,fake
0bce6c35c24ec5ce8ae8ad5bb4f67d59_r1.jpeg,real
0bce6c35c24ec5ce8ae8ad5bb4f67d59_r2.jpeg,real
0d003053cff1c844a1a733b02ea73606.jpeg,fake
0e65a4e5adc50344a43ffbd1f9ff84ea_r1.jpeg,fake
149af80e3cf3af0e46ab47863eb7b03e.jpeg,fake
1a7a5fe1c457806cb6d9fb17649b923a.jpeg,real
1c5a36da63d77c6a529d14f6ede897e28406569e3e471361f4282d10a1c7442b_r12.jpeg,fake
1e4cc5c247a3bdf572d4969c07992b34.jpeg,fake
2aa0e54b4dc251420a3679b501dc8a06.jpeg,fake
2ad2e05330051435a8976d2f72819b57.jpeg,real
2aee09d253a4606d2b5b4a630fbd6b834074ae2a91a3dd28e361eb8dadafad24_r11.jpeg,fake
2aee09d253a4606d2b5b4a630fbd6b834074ae2a91a3dd28e361eb8dadafad24_r2.jpeg,real
2c4c0b171577884f5c0991cacb5c5ebc_r1.jpeg,fake
2ddf7a07da956c375d9d512cf876bd871f5a3150db7b68b7ef25c1c91a694238_r4.jpeg,fake
2ddf7a07da956c375d9d512cf876bd871f5a3150db7b68b7ef25c1c91a694238_r6.jpeg,fake
2df3e5ecf2315ee61ffe3c566e125c8a.jpeg,fake
2ebd5194c37a818d1805082c34065c30.jpeg,fake
2ed5f853e9c2b6a92bca20cfcf5a9fe85d353d5ece606d57dba8a024dd1887db.jpeg,fake
3ae4bd2508eb036a3df769348af8e8e8.jpeg,fake
3b1558eefcb3008a00a5e863ce729092.jpeg,fake
3dbe741ec8da19e60d694783dada6491.jpeg,fake
3de04fb6e7a042632a00f765cdb60e39224156c3a9d7055951f5a0298feb2dba.jpeg,fake
4c27a50c2f1d7755efe281ea88758885.jpeg,fake
4ca91e737979369e37478c4f4ec6e84e_r4.jpeg,fake
4ca91e737979369e37478c4f4ec6e84e_r9.jpeg,fake
4pwf294pwf294pwf.jpg,fake
53805809adf9a3d8d0d33c71253fe7eb.jpeg,fake
59de5a40846ba0dca00d56c21c43afd17c4592b3ba6cbffbc73a985b061fb4a4.jpeg,real
5bd35cd9932265235fd90b3daf32c65d.jpeg,fake
5d04c3a88fe8c5d2d7c7a8877e7880fe.jpeg,real
616ba73f50088eb13244a807076248f7.jpeg,fake
62ddb30f859923e2231a777f55de69c7.jpeg,fake
637d149bc1ccd8dedacdf37530cf408e.jpeg,fake
64294f3a2adb2e48ac82d6f65ea9d52c.jpeg,fake
6f9t1r6f9t1r6f9t.jpg,fake
7784c7d9d0ff5eec84cf377888af309f0b2e1af6f5a5b3f89ae7b4de591de9a5.jpeg,fake
7isuvh7isuvh7isu.jpg,fake
7xld4y7xld4y7xld.jpg,real
86ae36214222e367f9bc162308095ada_r12.jpeg,fake
b289c80bdf2d5092fffe0e53d927af2c.jpeg,real
ccbcb5187879ea5f9ef2871e59b94651.jpeg,fake
e566b28a9429f693defb306c191d05a6.jpeg,fake
eaef1ce47d4afebf42b1a93fcf502386.jpeg,fake
fe7ovxfe7ovxfe7o.jpg,fake
h1gpeyh1gpeyh1gp.jpg,real
kv57cgkv57cgkv57.jpg,real
me07oqme07oqme07.jpg,fake
mnj16pmnj16pmnj1.jpg,fake
ozrpf8ozrpf8ozrp.jpg,fake
v7ghcav7ghcav7gh.jpg,real
,FP: 13/53
,ACC: 0.755
